date,PM25
2015-01-01,153.0
2015-01-02,139.0
2015-01-03,98.0
2015-01-04,96.0
2015-01-05,90.0
2015-01-06,114.0
2015-01-07,148.0
2015-01-08,141.0
2015-01-09,149.0
2015-01-10,156.0
2015-01-11,162.0
2015-01-12,153.0
2015-01-13,155.0
2015-01-14,173.0
2015-01-15,159.0
2015-01-16,132.0
2015-01-17,158.0
2015-01-18,159.0
2015-01-19,158.0
2015-01-20,154.0
2015-01-21,127.0
2015-01-22,138.0
2015-01-23,112.0
2015-01-24,120.0
2015-01-25,126.0
2015-01-26,120.0
2015-01-27,125.0
2015-01-28,137.0
2015-01-29,143.0
2015-01-30,79.0
2015-01-31,21.0
2015-02-01,27.0
2015-02-02,33.0
2015-02-03,97.0
2015-02-04,124.0
2015-02-05,147.0
2015-02-06,128.0
2015-02-07,119.0
2015-02-08,140.0
2015-02-09,116.0
2015-02-10,111.0
2015-02-11,146.0
2015-02-12,135.0
2015-02-13,137.0
2015-02-14,127.0
2015-02-15,96.0
2015-02-16,84.0
2015-02-17,100.0
2015-02-18,107.0
2015-02-19,89.0
2015-02-20,79.0
2015-02-21,105.0
2015-02-22,134.0
2015-02-23,132.0
2015-02-24,105.0
2015-02-25,96.0
2015-02-26,87.0
2015-02-27,83.0
2015-02-28,80.0
2015-03-01,85.0
2015-03-02,79.5
2015-03-03,74.0
2015-03-04,75.0
2015-03-05,69.0
2015-03-06,63.0
2015-03-07,67.0
2015-03-08,78.0
2015-03-09,93.0
2015-03-10,126.0
2015-03-11,116.0
2015-03-12,99.0
2015-03-13,104.0
2015-03-14,91.0
2015-03-15,84.0
2015-03-16,78.0
2015-03-17,82.0
2015-03-18,99.0
2015-03-19,105.0
2015-03-20,123.0
2015-03-21,156.0
2015-03-22,139.0
2015-03-23,126.0
2015-03-24,127.0
2015-03-25,141.0
2015-03-26,125.0
2015-03-27,96.0
2015-03-28,101.0
2015-03-29,87.0
2015-03-30,74.0
2015-03-31,69.0
2015-04-01,70.0
2015-04-02,59.0
2015-04-03,58.0
2015-04-04,57.0
2015-04-05,63.0
2015-04-06,59.0
2015-04-07,59.0
2015-04-08,56.0
2015-04-09,46.0
2015-04-10,58.0
2015-04-11,42.0
2015-04-12,40.5
2015-04-13,39.0
2015-04-14,57.0
2015-04-15,45.0
2015-04-16,43.0
2015-04-17,63.0
2015-04-18,75.0
2015-04-19,43.0
2015-04-20,27.0
2015-04-21,31.0
2015-04-22,34.0
2015-04-23,34.0
2015-04-24,54.0
2015-04-25,62.0
2015-04-26,52.0
2015-04-27,34.0
2015-04-28,45.0
2015-04-29,44.0
2015-04-30,57.0
2015-05-01,80.0
