date,PM25
2015-01-01,116.08
2015-01-02,116.08
2015-01-03,132.0
2015-01-04,122.0
2015-01-05,151.0
2015-01-06,137.0
2015-01-07,153.0
2015-01-08,158.0
2015-01-09,149.0
2015-01-10,148.0
2015-01-11,149.0
2015-01-12,152.0
2015-01-13,161.0
2015-01-14,171.0
2015-01-15,167.0
2015-01-16,158.0
2015-01-17,156.0
2015-01-18,159.0
2015-01-19,159.0
2015-01-20,161.0
2015-01-21,156.0
2015-01-22,149.0
2015-01-23,140.0
2015-01-24,129.0
2015-01-25,134.0
2015-01-26,133.0
2015-01-27,123.0
2015-01-28,137.0
2015-01-29,154.0
2015-01-30,161.0
2015-01-31,169.0
2015-02-01,167.0
2015-02-02,157.0
2015-02-03,156.0
2015-02-04,163.0
2015-02-05,167.0
2015-02-06,156.0
2015-02-07,127.0
2015-02-08,134.0
2015-02-09,135.0
2015-02-10,130.0
2015-02-11,147.0
2015-02-12,158.0
2015-02-13,153.0
2015-02-14,156.0
2015-02-15,166.0
2015-02-16,176.0
2015-02-17,172.0
2015-02-18,157.0
2015-02-19,148.0
2015-02-20,137.0
2015-02-21,133.0
2015-02-22,162.0
2015-02-23,163.0
2015-02-24,155.0
2015-02-25,158.0
2015-02-26,137.0
2015-02-27,131.0
2015-02-28,130.0
2015-03-01,107.0
2015-03-02,121.5
2015-03-03,136.0
2015-03-04,117.0
2015-03-05,137.0
2015-03-06,139.0
2015-03-07,113.0
2015-03-08,125.0
2015-03-09,127.0
2015-03-10,158.0
2015-03-11,155.0
2015-03-12,153.0
2015-03-13,154.0
2015-03-14,151.0
2015-03-15,124.0
2015-03-16,113.0
2015-03-17,119.0
2015-03-18,141.0
2015-03-19,149.0
2015-03-20,153.0
2015-03-21,157.0
2015-03-22,158.0
2015-03-23,164.0
2015-03-24,170.0
2015-03-25,165.0
2015-03-26,157.0
2015-03-27,149.0
2015-03-28,148.0
2015-03-29,143.0
2015-03-30,134.0
2015-03-31,142.0
2015-04-01,121.0
2015-04-02,126.0
2015-04-03,147.0
2015-04-04,158.0
2015-04-05,155.0
2015-04-06,150.0
2015-04-07,138.0
2015-04-08,118.0
2015-04-09,96.0
2015-04-10,107.0
2015-04-11,117.0
2015-04-12,105.0
2015-04-13,106.4
2015-04-14,107.8
2015-04-15,109.2
2015-04-16,110.6
2015-04-17,112.0
2015-04-18,157.0
2015-04-19,143.0
2015-04-20,115.0
2015-04-21,96.0
2015-04-22,108.0
2015-04-23,137.0
2015-04-24,121.0
2015-04-25,121.0
2015-04-26,122.0
2015-04-27,120.0
2015-04-28,125.0
2015-04-29,147.0
2015-04-30,137.0
2015-05-01,172.0
2015-05-02,150.0
2015-05-03,130.0
2015-05-04,136.0
2015-05-05,142.0
2015-05-06,130.0
2015-05-07,123.0
2015-05-08,135.0
2015-05-09,153.0
2015-05-10,148.0
2015-05-11,143.0
2015-05-12,109.0
2015-05-13,120.0
2015-05-14,109.0
2015-05-15,98.0
2015-05-16,109.0
2015-05-17,98.0
2015-05-18,107.0
2015-05-19,135.0
2015-05-20,138.0
2015-05-21,196.0
2015-05-22,148.0
2015-05-23,115.0
2015-05-24,116.0
2015-05-25,121.0
2015-05-26,118.0
2015-05-27,139.0
2015-05-28,118.0
2015-05-29,133.0
2015-05-30,120.0
2015-05-31,150.0
2015-06-01,152.0
