date,PM25
2015-01-01,230.0
2015-01-02,143.0
2015-01-03,119.0
2015-01-04,160.0
2015-01-05,154.0
2015-01-06,185.0
2015-01-07,212.0
2015-01-08,246.0
2015-01-09,227.0
2015-01-10,200.0
2015-01-11,200.0
2015-01-12,228.0
2015-01-13,221.0
2015-01-14,283.0
2015-01-15,233.0
2015-01-16,253.0
2015-01-17,189.0
2015-01-18,185.0
2015-01-19,215.0
2015-01-20,231.0
2015-01-21,220.0
2015-01-22,251.0
2015-01-23,263.0
2015-01-24,199.0
2015-01-25,224.0
2015-01-26,198.0
2015-01-27,184.0
2015-01-28,227.0
2015-01-29,189.0
2015-01-30,174.0
2015-01-31,188.0
2015-02-01,179.0
2015-02-02,190.0
2015-02-03,243.0
2015-02-04,265.0
2015-02-05,208.0
2015-02-06,185.0
2015-02-07,183.0
2015-02-08,215.0
2015-02-09,193.0
2015-02-10,226.0
2015-02-11,197.0
2015-02-12,216.0
2015-02-13,190.0
2015-02-14,188.0
2015-02-15,168.0
2015-02-16,148.0
2015-02-17,155.0
2015-02-18,143.0
2015-02-19,120.0
2015-02-20,118.0
2015-02-21,156.0
2015-02-22,153.0
2015-02-23,154.0
2015-02-24,140.0
2015-02-25,155.0
2015-02-26,150.0
2015-02-27,127.0
2015-02-28,131.0
2015-03-01,90.0
2015-03-02,124.0
2015-03-03,158.0
2015-03-04,169.0
2015-03-05,155.0
2015-03-06,161.0
2015-03-07,165.0
2015-03-08,168.0
2015-03-09,173.0
2015-03-10,188.0
2015-03-11,182.0
2015-03-12,173.0
2015-03-13,178.0
2015-03-14,168.0
2015-03-15,158.0
2015-03-16,152.0
2015-03-17,164.0
2015-03-18,155.0
2015-03-19,159.0
2015-03-20,161.0
2015-03-21,171.0
2015-03-22,175.0
2015-03-23,178.0
2015-03-24,155.0
2015-03-25,144.0
2015-03-26,141.0
2015-03-27,125.0
2015-03-28,135.0
2015-03-29,111.0
2015-03-30,93.0
2015-03-31,112.0
2015-04-01,152.0
2015-04-02,94.0
2015-04-03,110.0
2015-04-04,120.0
2015-04-05,102.0
2015-04-06,103.0
2015-04-07,105.0
2015-04-08,83.0
2015-04-09,104.0
2015-04-10,135.0
2015-04-11,81.0
2015-04-12,109.0
2015-04-13,153.0
2015-04-14,150.0
2015-04-15,160.0
2015-04-16,166.0
2015-04-17,140.0
2015-04-18,81.0
2015-04-19,60.0
2015-04-20,57.0
2015-04-21,66.0
2015-04-22,70.0
2015-04-23,86.0
2015-04-24,75.0
2015-04-25,99.0
2015-04-26,120.0
2015-04-27,87.0
2015-04-28,81.0
2015-04-29,85.0
2015-04-30,88.0
2015-05-01,90.0
2015-05-02,87.0
2015-05-03,95.0
2015-05-04,122.0
2015-05-05,100.0
2015-05-06,99.0
2015-05-07,92.0
2015-05-08,81.0
2015-05-09,83.0
2015-05-10,78.0
2015-05-11,88.0
2015-05-12,86.0
2015-05-13,87.0
2015-05-14,92.0
2015-05-15,82.0
2015-05-16,94.0
2015-05-17,79.0
2015-05-18,54.0
2015-05-19,47.0
2015-05-20,63.0
2015-05-21,100.0
2015-05-22,111.0
2015-05-23,116.0
2015-05-24,113.0
2015-05-25,113.0
2015-05-26,104.0
2015-05-27,92.0
2015-05-28,88.0
2015-05-29,87.0
2015-05-30,82.0
2015-05-31,78.0
2015-06-01,82.0
2015-06-02,70.0
2015-06-03,53.0
2015-06-04,58.0
2015-06-05,72.0
2015-06-06,67.0
2015-06-07,61.0
2015-06-08,67.0
2015-06-09,64.0
2015-06-10,79.0
2015-06-11,71.0
2015-06-12,87.0
2015-06-13,77.0
2015-06-14,98.0
2015-06-15,58.0
2015-06-16,57.0
2015-06-17,58.0
2015-06-18,50.0
2015-06-19,37.0
2015-06-20,28.0
2015-06-21,31.0
2015-06-22,43.0
2015-06-23,62.0
2015-06-24,93.0
2015-06-25,102.0
2015-06-26,116.0
2015-06-27,109.0
