date,PM25
2014-12-10,181.0
2014-12-11,191.0
2014-12-12,184.0
2014-12-13,147.0
2014-12-14,139.0
2014-12-15,164.0
2014-12-16,160.0
2014-12-17,159.0
2014-12-18,163.0
2014-12-19,158.0
2014-12-20,158.0
2014-12-21,170.0
2014-12-22,186.0
2014-12-23,184.0
2014-12-24,194.0
2014-12-25,193.0
2014-12-26,173.0
2014-12-27,156.0
2014-12-28,162.0
2014-12-29,162.25
2014-12-30,162.5
2014-12-31,162.75
2015-01-01,163.0
2015-01-02,165.0
2015-01-03,170.0
2015-01-04,159.0
2015-01-05,145.0
2015-01-06,154.0
2015-01-07,164.0
2015-01-08,169.0
2015-01-09,159.0
2015-01-10,164.0
2015-01-11,168.0
2015-01-12,170.0
2015-01-13,169.0
2015-01-14,174.0
2015-01-15,161.0
2015-01-16,152.0
2015-01-17,155.0
2015-01-18,162.0
2015-01-19,176.0
2015-01-20,168.0
2015-01-21,155.0
2015-01-22,138.0
2015-01-23,88.0
2015-01-24,129.0
2015-01-25,168.0
2015-01-26,152.0
2015-01-27,145.0
2015-01-28,156.0
2015-01-29,155.0
2015-01-30,154.0
2015-01-31,149.0
2015-02-01,209.0
2015-02-02,161.0
2015-02-03,163.0
2015-02-04,177.0
2015-02-05,180.0
2015-02-06,167.0
2015-02-07,165.0
2015-02-08,157.0
2015-02-09,160.0
2015-02-10,165.0
2015-02-11,172.0
2015-02-12,162.0
2015-02-13,172.0
2015-02-14,172.0
2015-02-15,171.0
2015-02-16,160.0
2015-02-17,163.0
2015-02-18,163.0
2015-02-19,162.0
2015-02-20,159.0
2015-02-21,182.0
2015-02-22,181.0
2015-02-23,192.0
2015-02-24,199.0
2015-02-25,156.0
2015-02-26,154.0
2015-02-27,137.0
2015-02-28,145.0
2015-03-01,113.0
2015-03-02,136.0
2015-03-03,159.0
2015-03-04,153.0
2015-03-05,156.0
2015-03-06,241.0
2015-03-07,180.0
2015-03-08,155.0
2015-03-09,155.0
2015-03-10,152.0
2015-03-11,148.0
2015-03-12,144.0
2015-03-13,140.0
