date,PM25
2015-01-01,272.0
2015-01-02,293.0
2015-01-03,173.0
2015-01-04,190.0
2015-01-05,191.0
2015-01-06,190.0
2015-01-07,249.0
2015-01-08,265.0
2015-01-09,306.0
2015-01-10,298.0
2015-01-11,285.0
2015-01-12,301.0
2015-01-13,298.0
2015-01-14,276.0
2015-01-15,253.0
2015-01-16,259.0
2015-01-17,261.0
2015-01-18,280.0
2015-01-19,260.0
2015-01-20,259.0
2015-01-21,263.0
2015-01-22,238.0
2015-01-23,176.0
2015-01-24,168.0
2015-01-25,181.0
2015-01-26,199.0
2015-01-27,213.0
2015-01-28,199.0
2015-01-29,218.0
2015-01-30,208.0
2015-01-31,181.0
2015-02-01,264.0
2015-02-02,244.0
2015-02-03,212.0
2015-02-04,190.0
2015-02-05,177.0
2015-02-06,195.0
2015-02-07,207.0
2015-02-08,197.0
2015-02-09,179.0
2015-02-10,172.0
2015-02-11,187.0
2015-02-12,211.0
2015-02-13,197.0
2015-02-14,185.0
2015-02-15,221.0
2015-02-16,224.0
2015-02-17,206.0
2015-02-18,225.0
2015-02-19,228.0
2015-02-20,200.0
2015-02-21,179.0
2015-02-22,160.0
2015-02-23,175.0
2015-02-24,226.0
2015-02-25,210.0
2015-02-26,176.0
2015-02-27,158.0
2015-02-28,160.0
2015-03-01,174.0
2015-03-02,152.5
2015-03-03,131.0
2015-03-04,161.0
2015-03-05,169.0
2015-03-06,177.0
2015-03-07,132.0
2015-03-08,122.0
2015-03-09,107.0
2015-03-10,148.0
2015-03-11,172.0
2015-03-12,190.0
2015-03-13,186.0
2015-03-14,169.0
2015-03-15,91.0
2015-03-16,80.0
2015-03-17,134.0
2015-03-18,139.0
2015-03-19,135.0
2015-03-20,160.0
2015-03-21,166.0
2015-03-22,160.0
2015-03-23,152.0
2015-03-24,154.0
2015-03-25,164.0
2015-03-26,179.0
2015-03-27,141.0
2015-03-28,150.0
2015-03-29,173.0
2015-03-30,134.0
2015-03-31,79.0
2015-04-01,152.0
2015-04-02,156.0
2015-04-03,105.0
2015-04-04,84.0
2015-04-05,113.0
2015-04-06,168.0
2015-04-07,140.0
2015-04-08,154.0
2015-04-09,146.0
2015-04-10,135.0
2015-04-11,143.0
2015-04-12,109.0
2015-04-13,134.0
2015-04-14,128.0
2015-04-15,131.0
2015-04-16,118.0
2015-04-17,126.0
2015-04-18,165.0
2015-04-19,165.0
2015-04-20,172.0
2015-04-21,152.0
2015-04-22,142.0
2015-04-23,131.0
2015-04-24,171.0
2015-04-25,159.0
2015-04-26,90.0
2015-04-27,127.0
2015-04-28,110.0
2015-04-29,111.0
2015-04-30,130.0
2015-05-01,116.0
2015-05-02,129.0
2015-05-03,176.0
2015-05-04,151.0
2015-05-05,183.0
2015-05-06,187.0
2015-05-07,156.0
2015-05-08,158.0
2015-05-09,161.0
2015-05-10,155.0
2015-05-11,156.0
2015-05-12,159.0
2015-05-13,129.0
2015-05-14,133.0
2015-05-15,141.0
2015-05-16,157.0
2015-05-17,141.0
2015-05-18,135.0
2015-05-19,103.0
2015-05-20,132.0
2015-05-21,146.0
2015-05-22,121.0
2015-05-23,114.0
2015-05-24,145.0
2015-05-25,154.0
2015-05-26,150.0
2015-05-27,137.0
2015-05-28,189.0
2015-05-29,148.0
2015-05-30,145.0
2015-05-31,131.0
2015-06-01,91.0
2015-06-02,61.0
2015-06-03,108.0
2015-06-04,137.0
2015-06-05,172.0
2015-06-06,136.0
2015-06-07,137.0
2015-06-08,136.0
2015-06-09,153.0
2015-06-10,95.0
2015-06-11,131.0
2015-06-12,86.0
2015-06-13,96.0
2015-06-14,113.0
2015-06-15,159.0
2015-06-16,160.0
2015-06-17,163.0
2015-06-18,170.0
2015-06-19,163.0
2015-06-20,103.0
2015-06-21,79.0
2015-06-22,114.0
2015-06-23,132.0
2015-06-24,170.0
2015-06-25,86.0
2015-06-26,131.0
2015-06-27,112.0
2015-06-28,125.0
2015-06-29,99.0
2015-06-30,103.0
2015-07-01,110.0
2015-07-02,102.0
2015-07-03,105.0
2015-07-04,126.0
2015-07-05,183.0
2015-07-06,105.0
2015-07-07,69.0
2015-07-08,125.0
2015-07-09,113.0
2015-07-10,91.0
2015-07-11,64.0
2015-07-12,66.0
2015-07-13,77.0
2015-07-14,96.0
2015-07-15,111.33333333333333
2015-07-16,126.66666666666667
2015-07-17,142.0
2015-07-18,131.0
2015-07-19,124.0
2015-07-20,87.0
2015-07-21,74.0
2015-07-22,71.0
2015-07-23,65.0
2015-07-24,78.0
2015-07-25,63.333333333333336
2015-07-26,48.66666666666667
2015-07-27,34.0
2015-07-28,32.0
2015-07-29,35.0
2015-07-30,22.0
2015-07-31,55.0
2015-08-01,63.0
2015-08-02,78.0
2015-08-03,75.0
2015-08-04,82.0
2015-08-05,110.0
2015-08-06,111.0
2015-08-07,92.0
2015-08-08,120.0
2015-08-09,92.0
2015-08-10,141.0
2015-08-11,135.0
2015-08-12,91.0
2015-08-13,118.0
2015-08-14,117.0
2015-08-15,88.0
2015-08-16,87.0
2015-08-17,108.0
2015-08-18,103.0
2015-08-19,47.0
2015-08-20,57.0
2015-08-21,70.0
2015-08-22,80.0
2015-08-23,85.0
2015-08-24,71.0
2015-08-25,81.0
2015-08-26,86.0
2015-08-27,102.0
2015-08-28,149.0
2015-08-29,111.0
2015-08-30,88.0
2015-08-31,80.0
2015-09-01,108.0
2015-09-02,147.0
2015-09-03,150.0
2015-09-04,137.0
2015-09-05,119.0
2015-09-06,107.0
2015-09-07,100.0
2015-09-08,110.0
2015-09-09,99.0
2015-09-10,107.0
2015-09-11,134.0
2015-09-12,154.0
2015-09-13,158.0
2015-09-14,169.0
2015-09-15,167.0
2015-09-16,163.0
2015-09-17,167.0
2015-09-18,108.0
2015-09-19,134.0
2015-09-20,117.0
2015-09-21,72.0
2015-09-22,72.0
2015-09-23,38.0
2015-09-24,84.0
2015-09-25,112.0
2015-09-26,121.0
2015-09-27,138.0
2015-09-28,126.0
2015-09-29,133.0
2015-09-30,98.0
2015-10-01,136.0
2015-10-02,149.0
2015-10-03,143.0
2015-10-04,147.0
2015-10-05,162.0
2015-10-06,165.0
2015-10-07,180.0
2015-10-08,170.0
2015-10-09,151.0
2015-10-10,133.0
2015-10-11,126.0
2015-10-12,142.0
2015-10-13,164.0
2015-10-14,156.0
2015-10-15,163.0
2015-10-16,181.0
2015-10-17,192.0
2015-10-18,226.0
2015-10-19,220.0
2015-10-20,212.0
2015-10-21,221.0
2015-10-22,207.4
2015-10-23,193.8
2015-10-24,180.2
2015-10-25,166.6
2015-10-26,153.0
2015-10-27,176.0
2015-10-28,163.0
2015-10-29,143.0
2015-10-30,165.0
2015-10-31,263.0
2015-11-01,271.0
2015-11-02,224.0
2015-11-03,257.0
2015-11-04,315.0
2015-11-05,214.0
2015-11-06,215.0
2015-11-07,413.0
2015-11-08,298.0
2015-11-09,231.0
2015-11-10,305.0
2015-11-11,258.0
2015-11-12,319.0
2015-11-13,390.0
2015-11-14,317.0
2015-11-15,265.0
2015-11-16,217.0
2015-11-17,196.0
2015-11-18,230.0
2015-11-19,254.0
2015-11-20,316.0
2015-11-21,325.0
2015-11-22,307.0
2015-11-23,328.0
2015-11-24,326.0
2015-11-25,223.0
2015-11-26,212.0
2015-11-27,243.0
2015-11-28,300.0
2015-11-29,339.0
2015-11-30,385.0
2015-12-01,267.0
2015-12-02,247.0
2015-12-03,279.0
2015-12-04,247.0
2015-12-05,301.0
2015-12-06,356.0
2015-12-07,332.0
2015-12-08,338.0
2015-12-09,352.0
2015-12-10,313.0
2015-12-11,318.0
2015-12-12,306.0
2015-12-13,224.0
2015-12-14,227.0
2015-12-15,216.0
2015-12-16,223.0
2015-12-17,287.0
2015-12-18,327.0
2015-12-19,302.0
2015-12-20,310.0
2015-12-21,310.0
2015-12-22,371.0
2015-12-23,452.0
2015-12-24,286.0
2015-12-25,236.0
2015-12-26,262.0
2015-12-27,307.0
2015-12-28,252.0
2015-12-29,256.0
2015-12-30,268.0
2015-12-31,286.5
2016-01-01,305.0
2016-01-02,323.5
2016-01-03,342.0
2016-01-04,434.0
2016-01-05,391.0
2016-01-06,394.0
2016-01-07,467.0
2016-01-08,432.0
